Date,Away,Score,Home,Score
2017,Hyannis,0,Harwich,6
2017,Yarmouth-Dennis,0,Bourne,0
2017,Wareham,3,Chatham,8
2017,Brewster,1,Cotuit,2
2017,Orleans,9,Falmouth,3
2017,Hyannis,0,Harwich,0
2017,Yarmouth-Dennis,0,Bourne,0
2017,Wareham,1,Chatham,6
2017,Harwich,7,Falmouth,10
2017,Hyannis,6,Wareham,2
2017,Cotuit,4,Chatham,8
2017,Yarmouth-Dennis,2,Orleans,1
2017,Bourne,5,Cotuit,4
2017,Brewster,7,Yarmouth-Dennis,7
2017,Falmouth,4,Harwich,2
2017,Hyannis,5,Chatham,3
2017,Wareham,0,Orleans,2
2017,Falmouth,4,Brewster,7
2017,Harwich,6,Cotuit,3
2017,Chatham,8,Yarmouth-Dennis,11
2017,Orleans,4,Bourne,0
2017,Wareham,10,Hyannis,2
2017,Wareham,2,Brewster,9
2017,Cotuit,3,Yarmouth-Dennis,5
2017,Harwich,2,Bourne,3
2017,Hyannis,5,Falmouth,10
2017,Chatham,3,Orleans,4
2017,Cotuit,12,Brewster,6
2017,Yarmouth-Dennis,5,Falmouth,1
2017,Bourne,7,Hyannis,6
2017,Orleans,3,Wareham,11
2017,Harwich,11,Chatham,2
2017,Yarmouth-Dennis,2,Cotuit,9
2017,Orleans,7,Harwich,4
2017,Hyannis,6,Bourne,8
2017,Wareham,3,Falmouth,5
2017,Brewster,4,Chatham,5
2017,Bourne,4,Brewster,6
2017,Falmouth,3,Yarmouth-Dennis,14
2017,Chatham,5,Hyannis,8
2017,Cotuit,4,Orleans,6
2017,Harwich,4,Wareham,1
2017,Bourne,3,Brewster,4
2017,Falmouth,2,Yarmouth-Dennis,1
2017,Chatham,2,Hyannis,9
2017,Cotuit,0,Orleans,4
2017,Harwich,1,Wareham,5
2017,Brewster,3,Bourne,5
2017,Brewster,1,Falmouth,7
2017,Cotuit,3,Harwich,0
2017,Hyannis,1,Wareham,5
2017,Yarmouth-Dennis,3,Orleans,4
2017,Bourne,2,Chatham,8
2017,Orleans,13,Cotuit,2
2017,Chatham,1,Brewster,11
2017,Hyannis,5,Bourne,3
2017,Yarmouth-Dennis,12,Harwich,1
2017,Falmouth,8,Wareham,4
2017,Yarmouth-Dennis,2,Bourne,6
2017,Chatham,4,Brewster,6
2017,Cotuit,12,Hyannis,6
2017,Yarmouth-Dennis,3,Bourne,5
2017,Hyannis,8,Brewster,3
2017,Bourne,3,Yarmouth-Dennis,4
2017,Wareham,11,Cotuit,0
2017,Falmouth,8,Chatham,3
2017,Harwich,1,Orleans,9
