"name","B"
"Nicholas Osborne","R"
"Mitchell Senger","L"
"Justin Showalter","R"
"Shay Smiddy","R"
"Noah Song","R"
"Spencer Steer","R"
"Enzo Stefanoni","R"
"Graeme Stinson","L"
"Levi Stoudt","R"
"Brandon White","R"
"Logan Wyatt","L"
"Kenyon Yovan","R"
"Tyler Ahearn","R"
"Michael Amditis","R"
"Carter Bach","R"
"Dante Baldelli","R"
"Joseph Baran","L"
"Serafino Brito","R"
"Jeffery Brown","L"
"Jeffery Brown","L"
"Cody Carroll","R"
"Cade Cavalli","R"
"Brendan Cellucci","L"
"Dominic Clementi","L"
"Isaac Collins","S"
"Jackson Coutts","L"
"Jackson Coutts","L"
"Matt Cronin","L"
"Gus Culpo","L"
"Oliver Dunn","L"
"Mason Feole","L"
"Dominic Fletcher","L"
"Nathan Florence","R"
"Ryan Garcia","R"
"Eric Gilgenbach","R"
"Justin Glover","L"
"Jakob Goldfarb","R"
"Zach Hart","R"
"MacGregor Hines","R"
"Jared Horn","R"
"Skyler Hunter","S"
"Josh Jung","R"
"Tyler Keysor","R"
"Ryan Kreidler","R"
"Lael Lockhart Jr.","S"
"Easton Lucas","L"
"Connor Lunn","R"
"Gian Martellini","R"
"Joseph Matulovich","R"
"Drew Millas","S"
"Thomas Miller","R"
"McKinley Moore","R"
"Bryant Packard","L"
"Pavin Parks","L"
"Parker Phillips","R"
"Will Proctor","R"
"Jack Ralston","R"
"Anthony Romanelli","L"
"Luke Roskam","L"
"Dominic Savino","R"
"Austin Shenton","L"
"Alex Stiegler","R"
"Bryson Stott","L"
"Ryan Stoudemire","R"
"Sahid Valenzuela","S"
"Andrew Vaughn","R"
"Ken Waldichuk","L"
"Derek West","R"
"Brendan White","R"
"Jeremy Ydens","R"
"Tyler Yeh","R"
"Reese Albert","L"
"Zach Ashford","L"
"Patrick Bailey","S"
"Tristan Baker","L"
"Brady Batten","R"
"Bradlee Beesley","R"
"Noah Campbell","S"
"Logan Chapman","L"
"Charlie Concannon","L"
"Quin Cotton","R"
"Mike Cowell","R"
"Andrew Daschbach","R"
"Blake Deatherage","R"
"Jonathan Deluca","S"
"Trenton Denholm","R"
"Matthew Dyer","R"
"Jensen Elliott","R"
"Kale Emshoff","R"
"Mason Erla","R"
"Chandler Fidel","L"
"Braidyn Fink","L"
"William Frank","R"
"Justin Friedman","R"
"Vito Friscia","R"
"Jim Govern","R"
"David Hamilton","L"
"Michael Henley","R"
"Tommy Henry","L"
"Quinn Hoffman","R"
"Brant Hurter","L"
"Gordon Ingebritson","R"
"Michael James","L"
"Karl Kauffmann","R"
"Adam Kerner","R"
"Sam Kessler","R"
"Christian Koss","R"
"Jack Leftwich","R"
"Tommy Mace","R"
"Tyler Madrigal","L"
"Alec Marsh","R"
"Andrew Martinez","R"
"Gabe Matthews","L"
"Ryne Nelson","R"
"Micah Pries","L"
"Nick Quintana","R"
"Luke Robinson","L"
"Kyle Schmidt","R"
"Bruce Steel","R"
"Randy Taveras","R"
"Randy Taveras","R"
"Brent Teller","R"
"Matthew Toke","L"
"Mitchell Tyranski","L"
"Luke Waddell","L"
"Nathan Wiles","R"
"Taylor Young","R"
"Zach Zubia","R"
"jordan butler","L"
"Cade Beloso","L"
"Noah Bridges","L"
"Tyler Brosius","R"
"Nick Brueser","R"
"Alec Burleson","L"
"Peter Burns","L"
"Blake Burzell","R"
"Jacob Campbell","R"
"Erubiel Candelario","R"
"Robert Carmody","R"
"Robert Cerulle","R"
"Cal Christofori","R"
"Joshua Culliver","R"
"AJ Curtis","R"
"Ryan Cusick","R"
"Henry Davis","R"
"Giovanni DiGiacomo","L"
"Nick Dombkowski","R"
"Derek Duffy","R"
"Colby Dunlop","L"
"Jud Fabian","R"
"Kyler Fedko","R"
"Jimmy Glowenke","R"
"Paul Gozzo","R"
"Nicholas Grabek","R"
"Jackson Greer","R"
"Sean Harney","L"
"Kyle Hess","L"
"Karl Johnson","R"
"Haydn King","L"
"Michael Kirian","R"
"Heston Kjerstad","L"
"Mac Lardner","R"
"Jake Mackenzie","R"
"Joshua Madole","L"
"Casey Martin","R"
"Cody Morissette","L"
"Shane Muntz","R"
"Jared Poland","R"
"Nicholas Richmond","R"
"Brendan Rivoli","L"
"Braxton Roxby","R"
"Harrison Rutkowski","R"
"Adam Schwartz","R"
"Kieran Shaw","R"
"Wesley Tobin","R"
"NiP Trogrlic-Iverson","R"
"Zavier Warren","S"
"Alika Williams","R"
"Jacob Winger","R"
"JP Woodward","L"
"Kerry Wright","R"
"Ernie Yake","L"
"Peyton Alford","L"
"Brett Auerbach","R"
"Luke Berryhill","R"
"Mason Black","R"
"Ryan Bliss","R"
"Coby Boulware","R"
"Marcos Castanon","R"
"Carson Coleman","R"
"T.J. Collett","L"
"Brian Craven","R"
"Joshua Crouch","R"
"Colin Davis","R"
"Ciaran Devenney","R"
"Noah Dickerson","L"
"Mason Dodd","R"
"Damon Dues","L"
"Duke Ellis","L"
"Stephen Emanuels","R"
"Sean Fisher","R"
"Eric Foggo","R"
"Tyler Follis","R"
"Jesse Franklin","L"
"Tyler Gentry","R"
"Tyler Hardman","R"
"Daniel Harper","R"
"Chance Huff","R"
"Sean Hunley","R"
"Chandler Jozwiak","R"
"Ben LaSpaluto","R"
"Cameron Locklear","R"
"Seth Lonsway","L"
"William McKay","R"
"Matthew Mikulski","L"
"Christian Molfetta","R"
"Jimmy Ramsey","L"
"Brennan Reback","L"
"Sean Roberts","R"
"Connor Shamblin","R"
"Jonah Smith","R"
"Alerick Soularie","R"
"Dominic Toso","R"
"Cam Tringali","R"
"Justin Vought","R"
"Kurt Wilson","R"
"Aaron Winkler","R"
"Gage Workman","S"
"Dane Acker","R"
"Jorge Arenas","R"
"Cole Ayers","R"
"Luke Bartnicki","L"
"Vincenzo Bologna","R"
"Riley Boyd","R"
"Cade Cabbiness","L"
"Zach Cable","R"
"Kendrick Calilao","R"
"Ausley Carraway","L"
"Jack Conlon","R"
"RJ Dabovich","R"
"Cooper Davis","L"
"Tyler Doanes","R"
"Daniel Federman","L"
"Adan Fernandez","R"
"Hugh Fisher","R"
"Saul Garza","R"
